sample
E06
E15.    
E18.
E19     
E31
E33
E41
E45.    
E48
E53
E56.    
E68
E73
ERR6397150
ERR6397151
ERR6397154
ERR6397162
ERR6397166
ERR6397171
ERR6397178
ERR6397179
ERR6397180
ERR6397191
ERR6397194
ERR6397199
ERR6397200
ERR6397207
ERR6397213
ERR6397214
ERR6397215
ERR6397217
ERR7732707
ERR7732708
ERR7737624
ERR7737644
ERR7737645
ERR7737647
ERR7737654
ERR7737656
ERR7737662
ERR7737670
ERR7737675
ERR7737680
ERR7737682
ERR7737683
ERR7737685
ERR7737707
ERR7737720
ERR7737722
ERR7737724
ERR7737727
ERR7737729
ERR7737735
ERR7737739
ERR7737745
ERR7737748
ERR7737756
ERR7737769
ERR7737772
ERR7737776
ERR7737777
ERR7737784
ERR7737796
ERR7737800
ERR7737806
ERR7737817
ERR7737819
ERR7737820
ERR7737836
ERR7737840
ERR7737842
ERR7737847
ERR7737851
ERR7737855
ERR7737856
ERR7737858
ERR7737864
ERR7737868
ERR7737871
ERR7737875
ERR7737879
ERR7737890
ERR7737896
ERR7737905
ERR7737906
ERR7737919
ERR7737926
ERR7737937
ERR7737947
P08.
P106
P111
P113
P115
P116
P117.
P121
P123
P125
P128
P132.
P136
P138.
P139.
P155
P156
P16
P160.
P169.
P17
P170.
P171R
P173
P175.
P176.
P177.
P178
P184
P185
P199.
P201.
P202.
P203.
P216.
P217.
P22.
P223
P226.
P23
P231.
P232.
P233
P234.
P238.
P244.
P246.
P253.
P29
P36
P44
P46
P48
P50.
P55
P74
P76R
P88R
SRR27332272
SRR27332276
SRR27332277
SRR27332282
SRR27332285
SRR27332290
SRR27332292
SRR27332294
SRR27332297
SRR27332298
SRR27332311
SRR27332313
SRR27332316
SRR27332319
SRR27332327
SRR27332334
SRR27332335
SRR27332340
SRR27332345
SRR28821350
SRR28821352
SRR28821356
SRR28821357
SRR28821360
SRR28821362
SRR28821365
SRR28821366
SRR28821367
SRR28821368
SRR28821370
SRR28821372
SRR28821373
SRR28821374
SRR28821376
SRR28821378
SRR28821379
SRR28821380
SRR28821386
SRR28821387
SRR28821388
SRR28821389
SRR28821391
SRR28821393
SRR28821396
SRR28821403
SRR28821404
SRR28821406
SRR28821409
SRR28821410
SRR28821421
SRR28821424
SRR28821431
SRR28821432
SRR28821434
